session_duration_sec,avg_latency_ms,packet_loss_percent,signal_strength_dbm,throughput_mbps,jitter_ms,handover_count,connected_users,cpu_utilization_percent,issue_type
488,80,1.61,-76,48,28,5,267,84,1
350,21,0.46,-69,188,4,1,30,33,0
404,171,4.79,-83,18,35,7,165,72,3
411,54,1.58,-104,64,10,2,71,44,2
303,43,1.31,-118,76,7,5,59,31,2
458,107,3.34,-75,36,25,8,224,93,1
489,94,2.44,-72,22,21,7,184,95,1
445,10,0.09,-75,243,3,2,45,26,0
339,10,0.29,-71,182,3,0,26,22,0
256,57,0.75,-100,75,10,6,94,46,2
425,83,1.31,-76,27,18,7,279,92,1
222,37,1.67,-115,82,8,5,71,43,2
355,161,5.05,-81,10,36,8,176,67,3
366,113,2.52,-69,42,17,7,206,89,1
310,96,1.34,-70,21,28,3,219,75,1
339,94,3.32,-69,23,21,3,237,94,1
409,11,0.17,-71,178,2,2,63,39,0
349,48,0.94,-114,74,6,2,66,53,2
310,166,4.36,-84,17,42,7,122,77,3
450,152,6.49,-83,10,33,5,155,90,3
333,27,0.12,-74,198,3,1,50,41,0
409,59,1.49,-118,67,10,6,98,39,2
439,87,1.22,-74,38,25,5,196,91,1
338,153,7.1,-88,31,35,4,170,72,3
454,93,1.58,-71,57,25,6,226,92,1
300,130,7.46,-79,31,48,6,113,82,3
416,125,1.09,-74,46,17,7,257,82,1
382,48,1.75,-101,85,8,6,76,32,2
401,123,5.93,-89,34,43,5,173,82,3
407,33,1.72,-114,81,8,2,72,49,2
354,16,0.11,-71,184,2,1,25,44,0
390,143,5.22,-82,34,33,5,123,65,3
488,115,2.28,-73,53,19,7,229,92,1
294,127,5.78,-81,24,35,8,179,71,3
349,11,0.13,-66,224,3,2,62,21,0
408,167,6.6,-88,31,44,5,163,82,3
296,54,0.98,-116,84,7,2,58,53,2
387,16,0.42,-69,181,1,2,52,30,0
460,107,2.46,-72,32,20,5,228,78,1
347,23,0.16,-65,168,4,2,30,30,0
373,29,0.15,-69,181,3,2,65,34,0
361,47,1.53,-113,90,4,4,84,33,2
341,13,0.0,-71,153,2,1,43,30,0
312,161,6.18,-87,26,31,4,121,68,3
407,41,1.75,-119,57,4,6,95,35,2
389,174,4.15,-82,10,39,6,159,71,3
393,30,0.47,-73,190,3,2,45,34,0
364,22,0.38,-68,217,1,1,37,27,0
382,60,1.63,-112,84,5,4,84,48,2
408,15,0.49,-72,243,1,0,42,33,0
435,115,1.42,-76,42,22,3,232,88,1
386,94,2.12,-73,22,30,3,222,97,1
449,12,0.09,-74,164,2,1,46,31,0
408,13,0.03,-69,206,5,1,66,20,0
281,57,1.49,-100,71,7,5,42,51,2
402,15,0.19,-71,227,5,0,48,39,0
456,122,2.25,-77,34,20,7,244,85,1
289,25,0.23,-74,170,2,1,35,32,0
271,34,0.7,-107,89,5,3,52,38,2
401,100,3.37,-77,26,22,8,249,79,1
401,127,4.53,-83,18,46,6,155,72,3
401,23,0.48,-74,159,5,0,47,36,0
403,19,0.02,-72,170,2,2,69,44,0
298,34,0.99,-117,59,6,6,66,51,2
456,115,1.79,-68,32,15,4,300,88,1
302,16,0.04,-67,171,4,1,60,44,0
371,12,0.19,-73,178,3,1,47,24,0
442,13,0.05,-72,197,1,2,63,44,0
368,131,4.36,-90,28,46,7,144,81,3
255,31,0.75,-104,84,10,3,90,47,2
315,18,0.49,-68,200,1,0,43,40,0
227,52,1.81,-101,70,7,5,91,50,2
337,125,2.81,-76,26,27,3,241,88,1
349,109,2.77,-71,56,28,6,227,91,1
442,180,5.78,-86,10,34,4,166,77,3
330,88,2.43,-76,28,26,8,280,76,1
371,18,0.49,-67,176,4,1,66,42,0
408,52,0.95,-104,76,7,6,95,41,2
354,168,6.42,-79,20,42,8,146,81,3
402,135,7.18,-78,28,39,6,124,81,3
399,49,1.03,-107,68,6,5,87,37,2
313,33,0.68,-100,60,6,3,80,34,2
312,10,0.15,-74,238,1,1,64,28,0
358,57,0.8,-113,64,10,4,55,53,2
313,158,5.48,-84,25,30,4,145,74,3
429,180,5.34,-79,19,31,6,151,65,3
379,24,0.42,-70,226,5,2,56,38,0
282,58,0.83,-114,50,4,5,99,41,2
414,169,6.44,-85,33,47,9,101,82,3
316,91,2.17,-74,21,24,4,291,94,1
224,36,0.62,-116,65,8,2,95,44,2
236,50,1.71,-111,90,8,2,98,39,2
305,49,1.39,-104,90,5,3,43,35,2
413,133,5.42,-90,10,30,6,158,68,3
428,129,6.78,-80,24,43,9,128,70,3
315,165,5.33,-83,15,33,7,117,72,3
232,48,1.12,-114,65,8,6,50,37,2
362,51,1.5,-114,70,9,6,79,43,2
329,168,5.76,-87,29,30,9,117,83,3
309,161,7.16,-78,29,32,4,103,69,3
440,85,2.16,-73,54,20,7,183,85,1
265,31,1.49,-103,83,10,3,90,54,2
435,24,0.48,-75,220,3,2,50,20,0
354,56,0.6,-101,54,7,3,74,50,2
309,94,2.05,-78,26,26,6,240,85,1
464,93,2.39,-78,57,20,6,257,94,1
273,52,1.82,-103,69,4,6,85,33,2
325,174,5.97,-85,22,33,9,142,78,3
343,53,1.29,-104,61,9,6,41,55,2
467,124,1.8,-72,21,22,4,281,75,1
449,103,1.52,-74,44,23,8,202,91,1
414,87,1.74,-77,34,15,3,219,78,1
392,28,0.15,-68,246,1,1,24,43,0
339,112,4.96,-78,34,47,8,168,87,3
393,122,1.84,-74,25,21,6,289,91,1
265,51,1.79,-109,82,9,6,85,54,2
440,173,7.92,-82,21,42,9,167,89,3
262,15,0.04,-71,216,3,2,67,34,0
370,43,0.86,-112,54,6,6,62,42,2
381,31,0.76,-112,68,5,6,42,36,2
364,105,2.15,-78,52,19,6,222,88,1
446,21,0.06,-74,236,5,1,50,21,0
285,41,0.59,-120,52,5,3,87,32,2
289,35,1.96,-118,74,6,4,56,38,2
394,13,0.03,-72,240,4,0,29,35,0
359,24,0.43,-75,167,4,1,48,43,0
320,126,5.64,-88,23,35,7,157,76,3
386,112,4.02,-85,10,31,7,149,84,3
449,177,5.97,-83,14,33,4,104,72,3
245,50,0.91,-104,78,7,2,70,36,2
380,52,0.7,-120,88,10,2,50,55,2
364,121,1.37,-75,32,21,7,280,84,1
410,167,4.07,-78,31,50,7,132,74,3
427,116,3.35,-69,45,20,5,208,98,1
221,35,0.68,-118,70,7,4,57,32,2
328,118,1.92,-68,60,26,5,204,90,1
366,154,5.62,-78,31,40,7,108,89,3
347,43,0.57,-110,60,5,3,76,39,2
411,59,1.42,-104,71,4,6,61,34,2
367,119,5.83,-82,25,39,8,154,72,3
406,36,1.04,-119,78,9,5,54,48,2
363,23,0.5,-68,194,3,0,22,31,0
289,41,1.14,-118,85,8,6,84,52,2
358,17,0.15,-74,244,4,1,34,41,0
494,80,2.7,-70,57,21,8,240,82,1
289,60,1.79,-117,69,10,5,86,41,2
305,26,0.12,-73,204,5,2,45,29,0
329,98,1.19,-76,34,23,7,287,84,1
280,55,0.97,-108,59,4,4,88,44,2
330,105,2.75,-72,33,29,7,238,93,1
375,40,1.76,-119,60,10,3,92,49,2
403,173,4.55,-85,33,49,6,122,71,3
303,14,0.23,-72,175,2,1,54,38,0
480,97,2.63,-73,21,29,6,283,79,1
476,96,1.19,-76,36,24,3,248,85,1
333,29,0.46,-70,194,4,1,58,40,0
377,128,2.7,-70,41,19,4,278,91,1
297,45,0.51,-102,86,5,3,62,31,2
292,41,1.71,-107,64,4,4,49,38,2
430,84,2.05,-73,42,26,3,279,75,1
414,89,1.51,-75,54,17,5,238,93,1
353,22,0.2,-65,211,3,0,50,42,0
240,31,1.53,-116,83,7,3,98,39,2
392,30,0.26,-72,250,2,2,60,41,0
380,31,1.35,-107,61,10,3,48,44,2
422,177,5.6,-87,25,42,5,157,88,3
296,137,5.24,-84,26,41,4,141,73,3
366,29,0.49,-67,151,2,2,34,20,0
423,162,7.37,-85,15,41,4,175,66,3
322,44,1.45,-100,69,9,3,93,34,2
348,15,0.15,-72,157,4,2,65,26,0
306,19,0.42,-73,236,5,0,37,20,0
419,18,0.07,-75,205,4,2,47,36,0
321,40,1.28,-105,84,10,5,81,53,2
382,120,1.08,-73,35,29,4,277,75,1
341,26,0.12,-70,203,1,1,68,29,0
339,41,0.84,-108,81,10,2,57,38,2
268,49,0.68,-114,88,10,3,91,33,2
337,14,0.48,-70,211,5,1,63,33,0
332,55,1.45,-102,82,4,6,74,48,2
443,19,0.06,-65,185,4,0,68,28,0
447,115,3.28,-77,51,28,4,263,77,1
410,108,2.1,-77,47,25,3,214,79,1
485,117,1.91,-73,49,19,4,229,77,1
299,144,4.89,-89,27,32,6,144,67,3
473,125,2.47,-72,35,28,5,221,94,1
320,34,1.26,-102,74,8,6,57,50,2
269,30,0.25,-73,181,1,1,30,27,0
276,29,0.5,-75,160,2,2,67,34,0
406,127,1.58,-75,26,27,6,236,75,1
318,30,0.44,-75,234,5,1,21,45,0
327,177,5.18,-84,28,39,8,141,72,3
345,135,4.88,-85,30,36,4,117,87,3
305,82,2.49,-77,36,29,8,292,87,1
397,30,0.31,-68,174,4,0,20,20,0
262,25,0.02,-72,225,4,2,38,25,0
284,14,0.25,-72,166,2,0,28,25,0
467,102,2.95,-71,29,22,4,189,77,1
291,166,7.7,-82,34,47,4,109,84,3
301,58,1.64,-115,58,5,6,81,33,2
258,41,0.56,-110,77,5,5,60,37,2
426,115,3.13,-68,27,23,3,248,93,1
406,117,1.12,-74,35,30,4,205,90,1
308,26,0.29,-71,244,2,1,28,21,0
443,156,7.68,-82,22,39,9,166,76,3
338,30,0.46,-75,197,5,2,38,34,0
405,116,1.53,-73,58,28,6,264,80,1
397,32,1.55,-101,87,9,5,59,36,2
348,173,5.36,-88,33,34,9,158,88,3
418,27,0.15,-67,250,3,0,32,37,0
344,27,0.21,-75,220,3,0,30,23,0
277,48,1.89,-115,68,9,3,77,44,2
392,55,0.5,-119,73,8,5,92,31,2
320,101,2.93,-74,20,27,7,206,76,1
337,147,4.33,-80,15,40,9,149,74,3
240,42,1.58,-112,89,9,6,74,33,2
402,41,0.56,-118,50,7,5,73,40,2
417,134,5.3,-88,24,43,7,163,71,3
424,87,2.94,-75,54,30,5,264,78,1
251,17,0.08,-70,246,1,1,42,44,0
350,168,6.11,-87,17,47,7,153,80,3
407,42,0.99,-103,54,6,4,69,30,2
250,23,0.2,-69,240,2,1,20,42,0
252,39,0.91,-114,63,7,2,95,38,2
416,177,4.67,-84,14,35,9,116,84,3
378,110,7.2,-82,29,50,6,165,76,3
394,10,0.41,-73,180,2,2,60,32,0
485,121,3.03,-73,21,15,6,281,87,1
408,119,5.3,-80,18,38,7,103,85,3
488,114,1.48,-69,58,26,5,192,89,1
316,20,0.2,-66,218,1,2,30,29,0
413,56,1.12,-100,77,4,2,85,40,2
375,88,2.98,-75,29,24,6,291,89,1
386,153,5.14,-84,19,36,6,132,74,3
432,138,6.9,-86,12,45,7,153,74,3
227,58,0.67,-113,73,9,5,80,54,2
281,18,0.5,-69,228,3,1,70,28,0
392,117,1.47,-76,26,18,8,218,90,1
390,23,0.48,-72,172,1,2,40,33,0
447,10,0.31,-73,244,4,2,57,22,0
329,98,1.8,-68,34,29,8,191,76,1
351,168,5.28,-81,20,36,7,135,85,3
335,12,0.28,-72,177,3,0,46,37,0
460,110,1.37,-75,37,22,3,282,87,1
414,171,4.45,-83,22,34,9,103,86,3
327,160,5.75,-82,12,50,7,107,89,3
434,100,1.79,-71,47,27,5,203,93,1
259,30,1.03,-115,54,6,5,68,52,2
367,143,4.55,-87,18,34,9,155,76,3
362,173,4.28,-90,21,36,7,131,82,3
369,40,1.29,-114,71,5,4,93,47,2
305,11,0.41,-75,225,5,2,26,24,0
394,143,6.77,-86,24,46,4,131,72,3
422,156,4.36,-83,27,32,8,117,81,3
364,57,1.74,-113,83,8,5,58,54,2
369,21,0.29,-70,221,4,0,62,34,0
312,38,1.36,-101,78,6,6,60,40,2
316,143,6.59,-89,18,45,7,120,78,3
323,28,0.05,-65,215,5,0,30,20,0
391,155,5.3,-82,19,44,8,117,83,3
386,109,2.28,-68,57,24,4,245,85,1
313,175,6.88,-88,10,42,5,113,78,3
288,19,0.03,-69,176,5,0,37,38,0
307,168,6.48,-85,29,47,5,121,69,3
463,92,2.24,-78,22,21,7,275,89,1
396,128,6.91,-88,23,35,9,149,78,3
347,170,7.16,-89,18,45,4,171,79,3
405,178,4.18,-81,26,30,7,155,76,3
261,23,0.31,-73,188,5,1,32,44,0
357,43,1.32,-113,85,9,4,43,45,2
226,49,0.52,-100,61,7,6,63,41,2
448,30,0.05,-75,245,2,0,30,28,0
275,45,1.5,-103,73,4,5,50,49,2
267,17,0.49,-69,150,1,0,52,31,0
335,22,0.07,-75,245,1,2,28,34,0
402,177,5.32,-81,15,35,7,119,90,3
387,22,0.13,-74,187,1,2,38,31,0
417,25,0.26,-74,222,1,1,55,41,0
322,156,6.09,-80,24,41,5,172,83,3
397,58,1.79,-108,56,4,5,88,35,2
340,180,5.06,-86,18,50,8,137,82,3
415,10,0.16,-65,202,1,2,28,35,0
416,21,0.08,-72,238,5,1,26,37,0
355,129,5.8,-85,28,38,6,117,75,3
367,10,0.19,-68,250,5,0,21,25,0
348,44,0.51,-118,72,4,2,95,34,2
257,22,0.44,-72,201,3,1,29,43,0
309,114,7.4,-89,10,40,7,121,88,3
479,109,2.15,-75,24,22,3,208,97,1
440,157,7.56,-86,14,49,5,147,81,3
355,111,7.29,-79,30,41,5,154,83,3
349,155,7.93,-89,18,40,4,176,76,3
406,20,0.27,-69,249,4,0,43,24,0
346,152,6.36,-81,31,32,6,178,68,3
330,155,4.43,-87,14,44,9,169,80,3
313,111,3.39,-71,42,26,8,261,86,1
263,12,0.08,-69,241,3,1,32,27,0
416,115,3.42,-73,52,29,5,191,86,1
309,85,1.36,-71,21,16,6,241,90,1
485,110,3.34,-75,28,16,3,223,94,1
445,10,0.49,-71,246,3,1,69,44,0
373,15,0.16,-66,228,1,2,20,30,0
385,99,1.51,-73,23,21,6,248,98,1
451,91,3.26,-69,54,23,3,203,81,1
365,127,3.04,-72,48,21,4,229,89,1
391,105,2.38,-75,45,25,8,271,82,1
402,25,0.48,-69,232,2,2,54,33,0
292,174,7.49,-85,13,31,5,162,65,3
318,127,2.88,-70,25,27,7,273,91,1
332,83,1.48,-77,60,29,7,273,81,1
381,57,0.86,-119,72,6,3,62,47,2
298,50,1.56,-110,55,8,4,74,47,2
299,43,0.65,-115,71,9,6,47,43,2
326,118,1.27,-73,33,27,7,251,80,1
369,49,1.56,-107,76,5,3,78,47,2
417,33,1.5,-115,84,9,3,74,30,2
367,51,1.69,-117,53,4,3,55,35,2
361,127,3.08,-68,37,21,3,201,91,1
338,13,0.17,-72,248,1,1,46,41,0
258,25,0.32,-66,160,2,2,37,35,0
429,14,0.03,-70,248,2,2,46,26,0
402,135,6.57,-78,27,37,9,146,73,3
325,130,5.06,-79,12,40,9,125,75,3
420,131,6.06,-90,30,50,9,144,90,3
490,114,1.62,-74,27,26,3,225,85,1
482,128,1.65,-77,50,16,3,236,79,1
406,19,0.12,-71,171,3,0,49,30,0
480,104,1.44,-75,31,23,5,257,80,1
434,138,4.48,-79,27,40,7,141,73,3
395,23,0.02,-75,183,2,1,39,28,0
442,163,6.74,-86,10,42,4,102,69,3
363,138,6.64,-84,15,43,5,119,71,3
374,56,1.56,-101,50,5,4,61,54,2
338,46,0.51,-100,56,5,4,45,31,2
392,48,1.24,-100,57,9,3,52,36,2
322,152,4.46,-87,16,44,4,126,71,3
255,56,1.27,-109,87,8,6,53,42,2
396,47,1.08,-109,55,8,5,87,33,2
362,161,4.94,-82,27,30,8,175,82,3
399,22,0.27,-69,186,3,1,70,23,0
286,28,0.37,-69,244,5,0,22,34,0
329,26,0.03,-69,188,1,1,64,40,0
325,20,0.18,-66,162,1,2,33,24,0
414,38,1.03,-110,62,4,3,89,30,2
236,35,1.09,-118,79,7,5,61,31,2
342,34,0.64,-109,67,10,3,74,51,2
359,27,0.49,-67,152,5,2,27,34,0
420,27,0.05,-69,175,3,2,44,41,0
442,167,5.95,-81,28,33,4,133,68,3
420,110,1.93,-69,48,15,8,290,79,1
481,94,1.21,-68,54,22,3,219,83,1
224,40,1.37,-104,89,8,6,53,33,2
369,18,0.5,-70,166,1,2,61,35,0
338,49,1.98,-111,84,5,2,69,50,2
352,177,6.77,-84,21,32,9,160,72,3
263,18,0.15,-65,175,3,1,20,41,0
282,30,1.91,-101,67,4,2,60,38,2
421,132,5.98,-78,31,38,9,167,74,3
335,40,0.51,-102,72,10,3,89,50,2
323,81,2.1,-72,38,16,8,247,92,1
291,43,1.48,-103,73,6,4,90,32,2
330,122,1.6,-69,54,21,5,261,96,1
323,95,2.87,-74,21,30,7,257,85,1
406,54,0.95,-117,75,4,2,79,51,2
337,43,0.77,-105,56,7,5,60,51,2
294,50,1.82,-101,57,8,3,78,38,2
385,34,0.97,-101,77,7,4,50,54,2
439,89,2.48,-75,35,15,7,182,87,1
409,138,7.94,-78,25,43,4,148,71,3
407,118,1.96,-70,38,25,5,205,83,1
349,30,0.05,-75,211,2,1,48,25,0
352,23,0.08,-74,213,1,0,32,28,0
409,12,0.37,-73,193,5,1,64,32,0
230,47,1.24,-103,78,6,6,97,46,2
274,33,1.89,-101,56,10,4,42,43,2
417,169,6.24,-81,13,42,7,134,80,3
427,156,5.09,-86,26,35,9,138,82,3
256,18,0.35,-67,250,1,1,56,33,0
424,10,0.38,-72,230,2,1,29,29,0
498,119,2.74,-71,57,23,3,222,96,1
428,145,5.51,-84,17,33,8,105,70,3
425,29,0.4,-74,177,2,0,28,40,0
326,83,1.54,-70,59,20,3,292,77,1
359,137,7.34,-80,19,48,6,138,71,3
284,140,4.54,-80,24,37,9,163,89,3
412,25,0.12,-73,218,3,0,23,42,0
305,60,1.56,-113,57,9,5,54,42,2
373,112,7.53,-83,14,47,6,151,82,3
285,155,7.66,-80,10,50,9,168,86,3
410,14,0.1,-70,236,1,1,52,32,0
357,24,0.04,-69,208,3,2,24,41,0
348,36,1.27,-100,51,10,5,85,30,2
381,49,1.69,-103,62,4,2,85,33,2
266,28,0.27,-75,230,1,0,59,42,0
329,172,5.27,-89,33,39,9,115,89,3
387,178,7.65,-82,16,30,6,135,79,3
316,122,1.16,-70,36,29,8,294,84,1
488,87,2.78,-71,52,23,6,257,98,1
222,55,0.84,-112,71,4,4,44,51,2
274,51,0.87,-111,76,5,3,68,50,2
302,15,0.33,-68,208,3,0,38,33,0
396,129,4.98,-81,16,40,6,112,72,3
331,123,1.75,-78,29,25,8,187,82,1
341,141,7.83,-84,19,33,9,174,73,3
276,55,1.27,-104,64,8,5,91,54,2
365,28,0.0,-68,159,5,1,62,40,0
265,21,0.35,-68,208,1,2,28,41,0
355,121,2.07,-77,41,24,7,192,77,1
399,111,6.82,-79,26,45,4,133,82,3
378,47,0.82,-106,55,6,5,57,54,2
414,115,2.93,-73,26,15,3,213,76,1
379,167,7.73,-84,35,46,7,167,74,3
407,48,1.06,-112,90,10,4,64,53,2
433,109,2.39,-72,30,15,3,259,75,1
420,130,5.74,-79,20,48,8,160,75,3
385,56,1.26,-102,77,9,2,64,49,2
402,116,5.97,-83,21,44,4,155,89,3
321,157,7.62,-86,14,49,8,137,68,3
307,102,2.68,-77,37,28,7,184,78,1
410,52,0.92,-111,52,6,5,88,47,2
394,129,3.14,-68,44,24,3,287,83,1
347,119,7.09,-80,20,48,5,161,81,3
400,165,5.92,-88,26,44,8,136,77,3
350,20,0.16,-71,241,1,0,44,37,0
389,160,4.26,-90,18,35,6,101,89,3
484,92,3.09,-71,46,19,6,264,84,1
320,28,0.06,-65,196,5,1,48,38,0
445,22,0.43,-69,153,5,1,23,36,0
325,28,0.22,-68,181,5,1,54,20,0
360,143,4.81,-83,24,30,8,153,90,3
442,130,5.37,-87,26,41,9,175,66,3
364,119,6.06,-79,33,46,8,110,70,3
236,57,1.23,-112,56,5,5,45,38,2
330,25,0.32,-67,153,2,1,59,39,0
373,107,3.29,-76,41,25,6,281,75,1
328,122,2.29,-78,25,20,5,257,87,1
482,129,3.28,-70,44,26,8,219,90,1
311,150,6.25,-85,34,38,4,134,77,3
327,36,1.74,-102,60,4,3,70,30,2
421,30,0.43,-70,230,5,0,50,26,0
308,48,0.81,-104,63,4,5,84,54,2
422,82,2.58,-78,48,28,4,201,90,1
394,94,1.88,-68,60,29,4,207,96,1
308,15,0.1,-71,241,4,0,26,23,0
356,132,7.48,-83,24,49,9,163,73,3
377,49,1.24,-109,66,9,6,40,33,2
348,23,0.02,-73,208,1,0,22,20,0
228,35,0.91,-119,81,10,4,65,48,2
356,46,0.62,-111,73,4,3,65,55,2
347,134,7.67,-78,35,33,6,162,77,3
255,37,1.32,-107,59,8,2,83,49,2
264,35,1.22,-107,50,5,3,98,33,2
465,118,3.06,-73,50,28,3,277,93,1
260,52,0.96,-108,78,4,6,64,54,2
402,165,7.42,-82,32,43,9,119,78,3
490,97,1.14,-75,33,24,6,259,85,1
383,21,0.34,-71,193,3,0,27,21,0
411,169,4.01,-78,19,43,5,133,67,3
495,96,3.03,-70,50,18,3,232,78,1
418,22,0.36,-66,150,1,0,53,44,0
236,55,0.97,-111,61,6,2,63,55,2
417,80,2.62,-71,48,30,7,217,90,1
252,45,0.55,-111,82,6,4,91,34,2
301,39,1.04,-100,50,5,3,56,49,2
433,23,0.49,-66,226,1,1,40,37,0
252,28,0.1,-70,213,1,1,63,44,0
333,52,0.8,-115,50,9,4,67,39,2
380,112,5.9,-84,13,32,9,154,65,3
344,110,2.81,-74,32,17,3,283,94,1
273,24,0.41,-70,160,3,0,60,38,0
303,176,6.03,-90,33,33,9,137,78,3
367,56,1.65,-116,83,5,3,92,43,2
357,16,0.06,-69,162,2,0,69,22,0
433,118,2.45,-72,47,30,6,225,98,1
433,113,2.5,-77,36,21,7,284,91,1
451,96,1.09,-76,58,27,6,235,82,1
368,28,0.22,-74,189,5,1,42,21,0
312,118,2.59,-78,47,29,4,208,86,1
402,110,3.12,-70,49,22,8,241,96,1
260,41,0.63,-107,65,9,6,79,34,2
379,121,4.85,-81,28,48,6,167,74,3
298,134,4.56,-82,35,41,6,149,69,3
381,120,1.78,-69,32,26,7,291,76,1
439,166,5.06,-81,32,30,9,163,81,3
323,136,7.85,-79,14,41,7,119,72,3
326,20,0.03,-71,168,3,2,59,25,0
336,59,1.75,-118,67,7,6,52,36,2
303,82,1.58,-69,27,22,6,217,95,1
334,47,1.29,-111,52,7,4,78,38,2
494,94,2.72,-78,35,26,6,195,85,1
290,59,1.83,-109,59,7,2,57,53,2
321,174,4.49,-87,14,46,8,149,66,3
296,171,6.89,-87,31,50,6,131,79,3
380,57,1.29,-107,63,7,2,45,36,2
445,121,2.39,-70,50,27,3,273,92,1
365,54,0.96,-113,70,9,2,85,34,2
337,112,2.12,-74,57,17,4,294,90,1
386,159,7.19,-79,31,41,4,141,74,3
282,57,1.77,-114,50,8,2,55,32,2
450,169,6.66,-82,32,44,4,168,69,3
278,11,0.19,-74,202,2,0,69,30,0
340,37,1.03,-103,52,8,5,54,34,2
380,59,0.54,-111,66,4,2,94,37,2
395,18,0.11,-70,205,4,2,63,42,0
398,113,1.7,-75,49,21,8,193,97,1
344,16,0.47,-70,228,5,2,29,44,0
375,13,0.24,-71,168,1,2,62,45,0
287,171,5.54,-85,24,44,9,143,87,3
383,163,7.56,-82,10,30,9,173,87,3
418,170,4.79,-87,34,44,7,165,66,3
418,150,4.64,-85,30,47,8,133,79,3
314,159,4.83,-79,15,34,6,101,78,3
357,15,0.23,-71,226,4,0,57,23,0
310,139,6.09,-78,12,43,9,151,85,3
336,161,6.08,-80,25,46,5,171,67,3
374,144,6.34,-85,35,38,5,169,71,3
321,121,7.86,-82,13,32,8,139,83,3
349,113,3.26,-71,57,27,8,292,94,1
265,17,0.43,-68,212,2,2,67,41,0
301,27,0.3,-71,227,3,1,51,33,0
409,26,0.13,-75,183,3,0,50,25,0
423,110,4.43,-86,34,44,5,171,71,3
222,39,0.54,-118,58,9,4,98,30,2
378,112,6.28,-90,16,43,5,107,85,3
434,128,1.46,-73,21,23,3,197,81,1
309,115,1.17,-71,44,30,7,282,78,1
381,130,6.07,-88,29,45,7,178,77,3
312,141,4.86,-87,34,39,4,137,82,3
322,49,0.71,-102,88,10,4,70,52,2
266,49,1.52,-120,55,10,2,46,52,2
235,30,0.64,-114,76,4,5,98,45,2
397,127,2.47,-70,59,25,5,262,95,1
377,106,3.25,-69,60,25,4,195,93,1
401,24,0.23,-74,170,2,2,31,22,0
257,30,0.22,-65,167,1,2,29,42,0
337,110,3.01,-76,22,17,5,237,76,1
412,60,1.09,-104,85,8,6,98,35,2
408,116,1.16,-69,33,16,6,226,97,1
365,126,1.99,-74,48,21,4,249,96,1
289,41,1.6,-105,67,5,5,86,37,2
445,168,7.24,-86,27,41,8,108,72,3
313,140,7.96,-89,26,31,7,115,85,3
297,49,0.76,-115,90,9,4,66,44,2
404,57,1.39,-110,73,6,3,40,36,2
309,25,0.21,-74,211,4,1,56,26,0
390,58,1.89,-115,88,7,3,78,51,2
284,21,0.05,-74,165,2,0,68,31,0
302,34,0.6,-119,67,6,6,78,41,2
296,30,0.05,-65,225,5,0,63,43,0
285,16,0.0,-72,227,3,0,54,20,0
360,20,0.22,-75,178,5,0,21,36,0
241,56,1.41,-109,59,8,6,95,32,2
258,12,0.15,-68,174,2,1,32,20,0
331,10,0.01,-71,218,1,0,65,45,0
446,157,6.03,-80,28,45,6,155,84,3
297,49,0.61,-117,58,10,4,47,55,2
437,165,6.21,-86,22,30,9,152,73,3
317,132,4.57,-84,19,41,8,135,73,3
442,10,0.02,-75,179,3,2,43,42,0
348,109,1.27,-78,55,30,6,278,78,1
360,169,7.28,-82,16,34,6,100,83,3
346,56,1.92,-104,69,9,2,51,31,2
371,85,2.54,-71,38,23,4,188,82,1
329,156,4.77,-85,25,44,8,120,80,3
258,30,0.14,-65,234,4,2,25,36,0
416,173,5.62,-88,13,39,8,146,85,3
497,94,3.34,-68,51,27,8,231,91,1
303,144,5.2,-83,25,45,4,177,72,3
284,131,6.86,-85,16,36,6,104,66,3
293,32,1.92,-105,53,9,6,63,33,2
400,118,7.41,-81,35,36,9,138,77,3
311,59,1.6,-112,60,9,5,80,42,2
406,115,4.46,-90,31,38,7,164,77,3
447,119,1.75,-74,23,16,3,253,82,1
264,26,0.29,-68,245,5,2,58,45,0
424,178,7.55,-89,30,43,4,127,79,3
368,58,0.95,-113,54,8,4,64,35,2
357,20,0.24,-75,219,2,1,22,34,0
444,165,4.53,-79,24,31,9,171,79,3
380,109,3.22,-70,24,30,7,233,91,1
474,121,2.76,-77,38,16,4,222,91,1
388,35,0.67,-104,63,4,6,50,48,2
299,37,1.07,-106,86,10,5,83,35,2
332,117,5.8,-88,31,34,8,102,67,3
320,144,5.56,-86,28,30,9,154,83,3
449,18,0.18,-66,212,5,2,53,39,0
373,33,0.86,-108,88,7,3,56,47,2
407,19,0.47,-66,159,2,2,54,22,0
415,29,0.12,-70,214,1,1,50,31,0
427,13,0.2,-72,210,4,2,64,20,0
435,105,2.16,-75,20,23,3,202,89,1
286,29,0.38,-68,181,4,1,34,44,0
414,33,1.31,-117,52,6,3,71,46,2
440,129,2.94,-72,42,21,8,187,98,1
445,24,0.2,-70,217,5,0,47,23,0
302,26,0.37,-75,155,1,0,45,43,0
383,32,1.71,-110,84,10,2,90,47,2
384,139,6.61,-90,15,45,4,177,82,3
308,124,3.46,-77,31,30,8,278,78,1
399,167,7.81,-85,20,42,5,114,89,3
338,90,2.28,-76,22,30,6,214,88,1
246,57,0.66,-117,90,8,5,80,48,2
340,32,1.31,-104,71,4,3,77,55,2
323,161,6.64,-87,11,31,7,171,75,3
399,102,1.49,-77,31,16,5,298,93,1
